ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH,DATE
93201,1,2020,Elec- Residential,N,309,215187,696,2020-01-01
93201,2,2020,Elec- Residential,N,313,164998,527,2020-02-01
93201,3,2020,Elec- Residential,N,313,148116,473,2020-03-01
93201,4,2020,Elec- Residential,N,308,146081,474,2020-04-01
93201,5,2020,Elec- Residential,N,310,193912,626,2020-05-01
93201,6,2020,Elec- Residential,N,310,253633,818,2020-06-01
93201,7,2020,Elec- Residential,N,312,324531,"1,040",2020-07-01
93201,8,2020,Elec- Residential,N,312,342917,"1,099",2020-08-01
93201,9,2020,Elec- Residential,N,311,259392,834,2020-09-01
93201,10,2020,Elec- Residential,N,311,194416,625,2020-10-01
93201,11,2020,Elec- Residential,N,312,193853,621,2020-11-01
93201,12,2020,Elec- Residential,N,312,259510,832,2020-12-01
93201,1,2021,Elec- Residential,N,312,238421,764,2021-01-01
93201,2,2021,Elec- Residential,N,313,179203,573,2021-02-01
93201,3,2021,Elec- Residential,N,315,176705,561,2021-03-01
93201,4,2021,Elec- Residential,N,314,159616,508,2021-04-01
93201,5,2021,Elec- Residential,N,314,218073,694,2021-05-01
93201,6,2021,Elec- Residential,N,314,311611,992,2021-06-01
93201,7,2021,Elec- Residential,N,314,390705,"1,244",2021-07-01
93201,8,2021,Elec- Residential,N,313,342974,"1,096",2021-08-01
93201,9,2021,Elec- Residential,N,315,266662,847,2021-09-01
93201,10,2021,Elec- Residential,N,314,169421,540,2021-10-01
93201,11,2021,Elec- Residential,N,313,182373,583,2021-11-01
93201,12,2021,Elec- Residential,N,312,271993,872,2021-12-01
93201,1,2022,Elec- Residential,N,312,261502,838,2022-01-01
93201,2,2022,Elec- Residential,N,313,201673,644,2022-02-01
93201,3,2022,Elec- Residential,N,313,179761,574,2022-03-01
93201,4,2022,Elec- Residential,N,312,157836,506,2022-04-01
93201,5,2022,Elec- Residential,N,313,203346,650,2022-05-01
