ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,10,2025,Elec- Agricultural,Y,0,0,
93101,11,2025,Elec- Agricultural,Y,0,0,
93101,12,2025,Elec- Agricultural,Y,0,0,
93110,10,2025,Elec- Agricultural,Y,0,0,
93110,11,2025,Elec- Agricultural,Y,0,0,
93110,12,2025,Elec- Agricultural,Y,0,0,
93117,10,2025,Elec- Agricultural,Y,0,0,
93117,11,2025,Elec- Agricultural,Y,0,0,
93117,12,2025,Elec- Agricultural,Y,0,0,
93202,10,2025,Elec- Agricultural,Y,0,0,
93202,11,2025,Elec- Agricultural,Y,0,0,
93202,12,2025,Elec- Agricultural,Y,0,0,
93203,10,2025,Elec- Agricultural,Y,0,0,
93203,11,2025,Elec- Agricultural,Y,0,0,
93203,12,2025,Elec- Agricultural,Y,0,0,
93204,10,2025,Elec- Agricultural,Y,0,0,
93204,11,2025,Elec- Agricultural,Y,0,0,
93204,12,2025,Elec- Agricultural,Y,0,0,
93206,10,2025,Elec- Agricultural,N,122,"5,879,840","48,195"
93206,11,2025,Elec- Agricultural,Y,134,"4,140,887","30,902"
93206,12,2025,Elec- Agricultural,Y,0,0,
93210,10,2025,Elec- Agricultural,Y,0,0,
93210,11,2025,Elec- Agricultural,Y,"1,137","22,615,895","19,891"
93210,12,2025,Elec- Agricultural,Y,0,0,
93212,10,2025,Elec- Agricultural,Y,258,"11,594,148","44,939"
93212,11,2025,Elec- Agricultural,Y,0,0,
93212,12,2025,Elec- Agricultural,Y,0,0,
93215,10,2025,Elec- Agricultural,Y,0,0,
93215,11,2025,Elec- Agricultural,Y,0,0,
93215,12,2025,Elec- Agricultural,Y,0,0,
93219,10,2025,Elec- Agricultural,Y,38,"1,375,336","36,193"
93219,11,2025,Elec- Agricultural,Y,0,0,
93219,12,2025,Elec- Agricultural,Y,0,0,
93224,10,2025,Elec- Agricultural,Y,0,0,
93224,11,2025,Elec- Agricultural,Y,0,0,
93224,12,2025,Elec- Agricultural,Y,0,0,
93225,10,2025,Elec- Agricultural,Y,0,0,
93225,11,2025,Elec- Agricultural,Y,0,0,
93225,12,2025,Elec- Agricultural,Y,0,0,
93230,10,2025,Elec- Agricultural,Y,395,"8,689,276","21,998"
93230,11,2025,Elec- Agricultural,Y,677,"12,001,272","17,727"
93230,12,2025,Elec- Agricultural,Y,674,"11,411,871","16,932"
93234,10,2025,Elec- Agricultural,Y,287,"6,639,457","23,134"
93234,11,2025,Elec- Agricultural,Y,0,0,
93234,12,2025,Elec- Agricultural,Y,0,0,
93239,10,2025,Elec- Agricultural,Y,0,0,
93239,11,2025,Elec- Agricultural,Y,0,0,
93239,12,2025,Elec- Agricultural,Y,0,0,
93241,10,2025,Elec- Agricultural,Y,0,0,
93241,11,2025,Elec- Agricultural,Y,0,0,
93241,12,2025,Elec- Agricultural,Y,0,0,
93242,10,2025,Elec- Agricultural,Y,0,0,
93242,11,2025,Elec- Agricultural,Y,0,0,
93242,12,2025,Elec- Agricultural,Y,0,0,
93243,10,2025,Elec- Agricultural,Y,0,0,
93243,11,2025,Elec- Agricultural,Y,0,0,
93243,12,2025,Elec- Agricultural,Y,0,0,
93245,10,2025,Elec- Agricultural,Y,514,"4,417,118","8,594"
93245,11,2025,Elec- Agricultural,Y,831,"5,321,965","6,404"
93245,12,2025,Elec- Agricultural,Y,"1,267","8,362,368","6,600"
93249,10,2025,Elec- Agricultural,Y,0,0,
93249,11,2025,Elec- Agricultural,Y,0,0,
93249,12,2025,Elec- Agricultural,Y,0,0,
93250,10,2025,Elec- Agricultural,Y,338,"6,473,601","19,153"
93250,11,2025,Elec- Agricultural,Y,0,0,
93250,12,2025,Elec- Agricultural,Y,0,0,
93251,10,2025,Elec- Agricultural,Y,0,0,
93251,11,2025,Elec- Agricultural,Y,0,0,
93251,12,2025,Elec- Agricultural,Y,0,0,
93252,10,2025,Elec- Agricultural,Y,0,0,
93252,11,2025,Elec- Agricultural,Y,0,0,
93252,12,2025,Elec- Agricultural,Y,0,0,
93254,10,2025,Elec- Agricultural,Y,0,0,
93254,11,2025,Elec- Agricultural,Y,0,0,
93254,12,2025,Elec- Agricultural,Y,0,0,
93256,10,2025,Elec- Agricultural,Y,0,0,
93256,11,2025,Elec- Agricultural,Y,0,0,
93256,12,2025,Elec- Agricultural,Y,0,0,
93262,10,2025,Elec- Agricultural,Y,0,0,
93262,11,2025,Elec- Agricultural,Y,0,0,
93262,12,2025,Elec- Agricultural,Y,0,0,
93263,10,2025,Elec- Agricultural,N,230,"14,570,396","63,350"
93263,11,2025,Elec- Agricultural,Y,0,0,
93263,12,2025,Elec- Agricultural,Y,0,0,
93266,10,2025,Elec- Agricultural,Y,0,0,
93266,11,2025,Elec- Agricultural,Y,0,0,
93266,12,2025,Elec- Agricultural,Y,0,0,
93268,10,2025,Elec- Agricultural,Y,0,0,
93268,11,2025,Elec- Agricultural,Y,0,0,
93268,12,2025,Elec- Agricultural,Y,0,0,
93272,10,2025,Elec- Agricultural,Y,0,0,
93272,11,2025,Elec- Agricultural,Y,0,0,
93272,12,2025,Elec- Agricultural,Y,0,0,
93274,10,2025,Elec- Agricultural,Y,0,0,
93274,11,2025,Elec- Agricultural,Y,0,0,
93274,12,2025,Elec- Agricultural,Y,0,0,
93276,10,2025,Elec- Agricultural,Y,0,0,
93276,11,2025,Elec- Agricultural,Y,0,0,
93276,12,2025,Elec- Agricultural,Y,0,0,
93277,10,2025,Elec- Agricultural,Y,0,0,
93277,11,2025,Elec- Agricultural,Y,0,0,
93277,12,2025,Elec- Agricultural,Y,0,0,
93280,10,2025,Elec- Agricultural,N,293,"20,151,444","68,776"
93280,11,2025,Elec- Agricultural,Y,855,"19,917,906","23,296"
93280,12,2025,Elec- Agricultural,Y,"1,038","18,866,451","18,176"
93286,10,2025,Elec- Agricultural,Y,0,0,
93286,11,2025,Elec- Agricultural,Y,0,0,
93286,12,2025,Elec- Agricultural,Y,0,0,
93291,10,2025,Elec- Agricultural,Y,0,0,
93291,11,2025,Elec- Agricultural,Y,0,0,
