ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,1,2026,Elec- Agricultural,Y,0,0,
93101,2,2026,Elec- Agricultural,Y,0,0,
93101,3,2026,Elec- Agricultural,Y,0,0,
93110,1,2026,Elec- Agricultural,Y,0,0,
93110,2,2026,Elec- Agricultural,Y,0,0,
93110,3,2026,Elec- Agricultural,Y,0,0,
93117,1,2026,Elec- Agricultural,Y,0,0,
93117,2,2026,Elec- Agricultural,Y,0,0,
93117,3,2026,Elec- Agricultural,Y,0,0,
93202,1,2026,Elec- Agricultural,Y,0,0,
93202,2,2026,Elec- Agricultural,Y,0,0,
93202,3,2026,Elec- Agricultural,Y,0,0,
93203,1,2026,Elec- Agricultural,Y,0,0,
93203,2,2026,Elec- Agricultural,Y,0,0,
93203,3,2026,Elec- Agricultural,Y,0,0,
93204,1,2026,Elec- Agricultural,Y,0,0,
93204,2,2026,Elec- Agricultural,Y,0,0,
93204,3,2026,Elec- Agricultural,Y,0,0,
93206,1,2026,Elec- Agricultural,Y,0,0,
93206,2,2026,Elec- Agricultural,Y,0,0,
93206,3,2026,Elec- Agricultural,Y,124,"7,285,672","58,755"
93210,1,2026,Elec- Agricultural,Y,0,0,
93210,2,2026,Elec- Agricultural,Y,0,0,
93210,3,2026,Elec- Agricultural,Y,840,"25,439,537","30,285"
93212,1,2026,Elec- Agricultural,Y,0,0,
93212,2,2026,Elec- Agricultural,Y,342,"8,240,610","24,095"
93212,3,2026,Elec- Agricultural,Y,0,0,
93215,1,2026,Elec- Agricultural,Y,0,0,
93215,2,2026,Elec- Agricultural,Y,0,0,
93215,3,2026,Elec- Agricultural,Y,0,0,
93219,1,2026,Elec- Agricultural,Y,0,0,
93219,2,2026,Elec- Agricultural,Y,0,0,
93219,3,2026,Elec- Agricultural,Y,0,0,
93224,1,2026,Elec- Agricultural,Y,0,0,
93224,2,2026,Elec- Agricultural,Y,0,0,
93224,3,2026,Elec- Agricultural,Y,0,0,
93225,1,2026,Elec- Agricultural,Y,0,0,
93225,2,2026,Elec- Agricultural,Y,0,0,
93225,3,2026,Elec- Agricultural,Y,0,0,
93230,1,2026,Elec- Agricultural,Y,725,"13,186,859","18,189"
93230,2,2026,Elec- Agricultural,Y,389,"6,746,824","17,344"
93230,3,2026,Elec- Agricultural,Y,724,"30,523,349","42,159"
93234,1,2026,Elec- Agricultural,Y,427,"5,402,062","12,651"
93234,2,2026,Elec- Agricultural,Y,219,"4,294,616","19,610"
93234,3,2026,Elec- Agricultural,Y,0,0,
93239,1,2026,Elec- Agricultural,Y,0,0,
93239,2,2026,Elec- Agricultural,Y,0,0,
93239,3,2026,Elec- Agricultural,Y,0,0,
93241,1,2026,Elec- Agricultural,Y,0,0,
